wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,Moby_pron,Rep_P,Rep_O
fawn,321,0.713333333,0.05,17.916472867168917,3.874784663509858e-05,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
fawn,163,0.36222222200000004,0.05,12.767145334803704,2.7611427375725352e-05,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
fawn,43,0.095555556,0.05,6.557438524302,1.4181732316539978e-05,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
scold,370,0.8222222220000001,0.05489799882549426,19.235384061671343,4.1600247834195205e-05,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/
scold,35,0.07777777799999999,0.05,5.916079783099616,1.2794669677233966e-05,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/
crotch,1181,2.624444444,0.11780920421353289,34.36568055487916,7.43224478123333e-05,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/
sooth,33,0.073333333,0.05,5.744562646538029,1.2423730611712984e-05,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/
crouch,653,1.451111111,0.08202279221128406,25.553864678361276,5.526518734084215e-05,kr/AU/tS/,_/k/r/A/C/_/_/,_/c/r/o/u/c/h/_/
crouch,394,0.8755555559999999,0.05753725910078278,19.849433241279208,4.292824825114409e-05,kr/AU/tS/,_/k/r/A/C/_/_/,_/c/r/o/u/c/h/_/
stern,2296,5.102222222,0.16547006469557568,47.916594202843754,0.00010362892614038411,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/
copse,145,0.322222222,0.05,12.041594578792296,2.6042283179301144e-05,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/
wand,1008,2.24,0.10755086495737673,31.74901573277509,6.866340275508105e-05,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/
want,375156,833.68,0.615444275238903,612.4997959183333,0.0013246495742899509,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/
want,950,2.111111111,0.10383705583265009,30.822070014844883,6.665870290239758e-05,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/
krait,25,0.055555556,0.05,5.0,1.0813469515560221e-05,kr/aI/t,_/k/r/Y/t/_/_/,_/k/r/a/i/t/_/_/
wrong,67509,150.02,0.45903306642460556,259.8249410660955,0.000561921815920091,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
wrong,8148,18.10666667,0.26989304434137196,90.26627277117406,0.00019521831777886687,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
wrong,602,1.337777778,0.07769169254698322,24.535688292770594,5.3063183479432524e-05,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
wrong,325,0.7222222220000001,0.05,18.027756377319946,3.898851880401912e-05,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
fir,1334,2.9644444439999997,0.1260124501779525,36.52396473549935,7.899015585094375e-05,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/
fit,21813,48.47333333,0.35693441619946564,147.6922475961416,0.00031941312341308997,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fit,9801,21.78,0.2859808123976875,99.0,0.0002141066964080924,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fit,2349,5.22,0.1672190321354759,48.46648326421054,0.00010481816786079006,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fix,11505,25.56666667,0.30004932073622986,107.26136303441235,0.00023197349587401121,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/
fixed,7473,16.60666667,0.2624130124210294,86.44651525654461,0.00018695735149061135,f/I/kst,_/_/f/I/k/s/t/,_/_/f/i/x/e/d/_/
fix,3410,7.577777778,0.19662373362713872,58.39520528262573,0.00012629095443571092,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/
fib,89,0.19777777800000002,0.05,9.433981132056603,2.0402813476372877e-05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/
fib,36,0.08,0.05,6.0,1.2976163418672267e-05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/
fig,11479,25.50888889,0.2998501338914929,107.14009520249644,0.00023171123067328305,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/
fie,60,0.133333333,0.05,7.745966692414834,1.675215493939453e-05,f/aI/,_/_/f/Y/_/_/_/,_/_/f/i/e/_/_/_/
finned,29,0.064444444,0.05,5.385164807134504,1.164646309564334e-05,f/I/nd,_/_/f/I/n/d/_/,_/_/f/i/n/n/e/d/
smirk,665,1.477777778,0.08301275330221643,25.787593916455254,5.5770672139047026e-05,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/
smirk,124,0.27555555600000003,0.05,11.135528725660043,2.4082740082914007e-05,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/
